Roll,Name,Cost,Description,
01-02,Acid,*,"The cacodemon’s attacks destroy non-magical armor or clothing on a successful hit. A non-magical weapon that strikes the cacodemon dissolves immediately after dealing damage. Magical weapons and armor are allowed a saving throw using the wielder’s Death save, adding any magical bonus to the roll if applicable.",
03-04,Aura,*,"The cacodemon is surrounded by a damaging aura that deals damage to susceptible creatures each round. The aura has a radius of 1’ per HD (minimum 5’) and deals 1d8 damage per round. Roll 1d8 for the type of aura: 1, arcane; 2, acidic; 3, cold; 4, electrical; 5, fire; 6, luminous or necrotic; 7, poisonous; 8, seismic.",
5,Berserk,##,The cacodemon gains a +2 bonus to attack rolls and is immune to fear. Its morale score is raised to +4.,
06-07,Bonus Attack,varies,"The cacodemon gains one or more bonus attacks. Roll 1d6: 1–3, one bonus attack dealing damage equal to its primary attack; 4–6, two bonus attacks each dealing damage equal to its secondary attack (or half its primary attack). If the bonus attack increases the cacodemon’s average damage to more than 4 points per HD, it counts as 1.5 special ability. Otherwise it counts as 1/4 special ability.",
08-09,Breath Weapon,*,"The cacodemon gains a dragon-like breath weapon usable 3/day. The breath weapon deals 1d6 extraordinary damage per HD of the cacodemon, with a successful Blast save reducing damage by half. Roll 1d8 for the type of breath weapon or choose: 1, flame (fire); 2, lightning (electric); 3, freezing vapors (cold); 4, poison vapor (poisonous); 5, sonic blast (seismic); 6, blistering corrosive (acidic); 7, magical force (arcane); 8, fetid gas (necrotic). Area of effect and special properties are as per a dragon.",
10-12,Charge,#,The cacodemon is capable of making charge attacks that deal double damage dice. Choose one natural attack type for the charge.,
13-14,Class Powers/Proficiencies,varies,"The cacodemon gains 1d4 class powers or proficiencies, selected based on the cacodemon’s overall design (Judge’s choice), excluding spellcasting. Each class power counts as 1/8 special ability.",
15-16,Dreadful,*,"Creatures that start their initiative or move within 60’ of the cacodemon must succeed on Paralysis saving throws or flee. If the creature is already cowering or faltering, it is instead mesmerized. Creatures with class level or HD equal to or greater than 1/2 the cacodemon’s HD are immune to the dread.",
17-18,Enervation,**,A character damaged by the cacodemon’s primary attack reduces his maximum hp by the amount of damage dealt and becomes enervated.,
19-20,Enslave,*,"The cacodemon can enslave victims to its will by claw or by gaze. The target must succeed on a Spells save or become enslaved to the cacodemon. If the cacodemon has 3 HD or less, the save is at +2. If the cacodemon has 9 HD or more, the save is at -2.",
21-23,Flying,####,"The cacodemon is capable of flying at the speed noted for its body form. If it already flies, it becomes capable of making dive attacks that deal double damage. If a dive hits a victim smaller than itself, it grabs and carries him off, unless the victim makes a successful size-adjusted Paralysis save. If he already has a dive attack, re-roll.",
24-25,Grab/Restrain,*,"The cacodemon gains the ability to grab or restrain its targets. Roll 1d20: 1–14, it gains a constriction attack that deals damage equal to its primary attack and restrains any creature struck that is smaller than the cacodemon; 15–17, if it hits a creature smaller than itself with at least two of its secondary attacks, the creature struck must make a successful size-adjusted Paralysis save or be grabbed; 18–20, if it hits a creature smaller than itself with its primary attack, the creature struck must make a successful size-adjusted Paralysis save or be grabbed.",
26-27,Horrific,*,Creatures encountering the cacodemon must make a successful Paralysis save at the start of their first initiative or be cowering until the start of their next initiative.,
28-31,Hug,##,"If the cacodemon hits with more than half its attacks during its attack sequence, it deals additional damage: 2d6 if man-sized, 2d8 if large, 2d10 if huge, 2d12 if gigantic, and 2d10 if colossal.",
32-37,Immunity,varies,"The cacodemon gains immunity. Roll 1d12: 1, all mundane damage; 2, all extraordinary damage; 3, all physical damage; 4, all energy damage; 5, any 6 damage types; 6, any 3 damage types ####; 7, any mundane physical damage ####; 8, any 3 mundane damage types ##; 9, all enchantment effects ####; 10, all death effects ###; 11, all transmogrification effects ###; 12 roll 1d4 & 1d6 twice. Re-roll if the cacodemon is already immune to the effect.",
38,Incorporeal,*,"The cacodemon is formless, weightless, and unable to interact with physical objects except through its attacks or special abilities. It becomes immune to mundane damage. However, if an incorporeal cacodemon has 4 HD or less, it considers damage dealt by silvered weapons to be extraordinary damage. It can select Enervate or Flying as special abilities.",
39,Infectious,##,The cacodemon is able to transform its victims into others of its kind or a lesser kind. Creatures slain by the infectious cacodemon rise as cacodemons of its type unless appropriate measures are taken, or survivors losing lots of hair or more of their body in spots to the cacodemon’s natural attacks might become a cacodemon of its type after 2d6 days.
40-41,Invisibility,*,"The cacodemon is naturally invisible. It may act freely, including attacking, without becoming visible.",
42-43,Lightning Reflexes,##,"The cacodemon is extremely fast, and gains a +2 bonus to initiative.",
44,Magic Resistance,*,The cacodemon gains magic resistance with a throw modifier equal to its HD – 7.,
45-48,Ongoing Damage,####,"Once the cacodemon has hit its victim, it can use its combat action to automatically deal ongoing damage each round equal to its most damaging attack. It does not grab or restrain the target, but it does count as encumbrance equal to its weight.",
49-51,Paralysis,*,"Victims of the cacodemon’s primary attack(s) must make a successful Paralysis save or become paralyzed. Roll 1d6: 1–2, paralysis lasts for 1d10 rounds; 3–6, paralysis lasts for 2d4 turns.",
52-53,Petrification,**,Any victim that either (1–3) beholds the cacodemon’s gaze (as medusa) or (4–6) is struck by the cacodemon’s attack(s) is required to make a successful Paralysis save or be turned to stone.,
54-61,Poison,*,"Creatures damaged by the cacodemon’s primary attack(s) must make successful Death save or be poisoned. Roll 1d20 to determine onset time: 1–2, instant (at the end of the cacodemon’s initiative); 3–14, 1 turn; 15, 1d4 turns; 16–19, 1d4+2 turns; 20, 1d10 turns. Roll 1d20 to determine effect: 1–16, death; 17–19: paralysis 2d4 turns + 1d6 damage per HD; 20: incapacitation. If the cacodemon has 3 HD or less, the save is at +2. If the cacodemon has 9 HD or more, the save is at –2.",
62-63,Regeneration,*,"The cacodemon regenerates hit points each round, with the ability to re-attach lost limbs, unless the damage is of two particular types (usually fire and acid). The amount regenerated will be HD/2 per round.",
64-67,Resistance,varies,"The cacodemon gains resistances. Roll 1d12 twice: 1, all mundane damage ####; 2, all extraordinary damage ###; 3, all physical damage ###; 4, all energy damage ###; 5, any 6 damage types ###; 6, any 3 damage types ###; 7, all mundane physical damage types ##; 8, any 3 mundane damage types ##; 9, all enchantment effects ##; 10, all death effects ##; 11, all transmogrification effects ##; 12, roll 1d4 & 1d6 twice. If the same effect is rolled twice, the cacodemon becomes immune (as above). Re-roll if the cacodemon is already immune to the effect.",
68-69,Special Senses,varies,"The cacodemon has a special sensory capacity. Roll 1d6: 1, Acute Hearing (#); 2, Acute Olfaction (#); 3, Acute Vision (#); 4, Night Vision (#); 5, Echolocation (##); 6, Mechanoreception (##). Choose type of mechanoreception based on the cacodemon’s other capabilities. Aerial mechanoreception and echolocation range is equal to its best encounter speed. Aquatic mechanoreception is equal to its swimming encounter speed.",
70-71,Spellcasting,**,The cacodemon may cast spells as if it were a mage of the class level shown on the Cacodemon Primary Characteristics by Rank table. Re-roll if the cacodemon is already able to cast spells.,
72-75,Spell-like Abilities,varies,The cacodemon gains 1d4 spell-like abilities. Generate the abilities as if rolling for spell scrolls or select appropriate abilities based on the cacodemon’s other powers (Judge’s choice). Each spell-like ability counts as a fraction of a special ability. Multiply 2 × spell level × the usage factor (see above).,
76-80,Stealth,#,The cacodemon is difficult to notice. Characters encountering the cacodemon at any time suffer a –2 penalty to surprise rolls.,
81-83,Swallow Attack,*,"The cacodemon can swallow whole victims two size categories smaller than itself on an unmodified attack throw of 20. A victim that is swallowed whole takes damage equal to the cacodemon’s HD each round until the cacodemon is killed or the victim dies. If the cacodemon is of gigantic size, it can swallow on 19–20; if of colossal size, on 18–20. If the cacodemon is not at least huge size, re-roll.",
84-86,Swift,##,The cacodemon moves rapidly. Its speed is increased by 30’ for every 120’ of base encounter movement.,
87-88,Terrifying,*,The cacodemon can cause panic and terror by making a combat action. The area of effect is 100 square feet per HD. Each affected creature must succeed on a Paralysis save or become frightened. Creatures with class level or HD of 1/2 the cacodemon’s HD or less falter even if the save succeeds.,
89-91,Topple and Fling,####,"When the cacodemon hits with its primary attack, it can topple and fling creatures at least one size category smaller than itself. The creature struck must make a size-adjusted Paralysis saving throw. If the save fails, the creature is knocked prone and forced back a number of feet equal to the damage dealt. If this would push the creature into a wall or other obstacle, the creature takes 1d6 damage per 10’ it has traveled. If the cacodemon is not at least huge size, re-roll.",
92-94,Tough,varies,"The cacodemon is unusually tough or hardy. Its AC is increased by 1d4 points. If this increases its AC to more than its HD × 1.5, this counts as a 1.5 special ability. Otherwise it counts as 1/4 special ability.",
95-97,Trample,##,"The cacodemon gains a trample attack which it may use in lieu of its normal attack sequence. The trample attack should inflict an average of 2 hp of damage per HD the cacodemon possesses. The cacodemon gains a +4 bonus to attack groups smaller than itself and can force back such creatures. If the cacodemon is not at least large size, re-roll.",
98-99,Vicious Attack,####,"The cacodemon has a vicious attack. On an unmodified attack throw of 20, the creature struck by the attack must make a Death save. If the save succeeds, the creature suffers damage. If the save fails, the creature suffers triple damage and has a limb broken. If the cacodemon is of gigantic size, it can dismember on 19–20; if of colossal size, on 18–20. If the cacodemon is not at least large sized, re-roll.",
100,Unusual,* or more,"The cacodemon has a rare, unique, or special power determined by the Judge. If the Judge doesn’t have one, be creative: re-roll.",
